OBJECTID,Source,WBID,LAKEID,EventType,GISAcres
2632,VT DEC WQD,VT17-08L02_02,,WBID Segments,31.93546791
2633,VT DEC WQD,VT17-08L03_01,,WBID Segments,196.94027788
2634,VT DEC WQD,VT17-08L03_02,,WBID Segments,20.3407784
2635,VT DEC WQD,VT17-08L05_01,,WBID Segments,71.0636018
2636,VT DEC WQD,VT17-08L05_02,,WBID Segments,18.95165982
2637,VT DEC WQD,VT17-08L07_01,,WBID Segments,45.79738414
2638,VT DEC WQD,VT17-08L07_02,,WBID Segments,10.32947898
2639,VT DEC WQD,VT17-08L08_02,,WBID Segments,147.77908716
2640,VT DEC WQD,VT17-08L08_01,,WBID Segments,618.75426621
2641,VT DEC WQD,VT17-08L08_03,,WBID Segments,5.07032493
2642,VT DEC WQD,VT17-10L01_03,,WBID Segments,16.10277714
2643,VT DEC WQD,VT17-10L01_01,,WBID Segments,153.69261216
2644,VT DEC WQD,VT17-10L01_02,,WBID Segments,12.27386164
2645,VT DEC WQD,VT17-10L03_02,,WBID Segments,170.80462157
2646,VT DEC WQD,VT17-10L03_01,,WBID Segments,7.95482397
2647,VT DEC WQD,VT17-10L04_03,,WBID Segments,20.67118382
2648,VT DEC WQD,VT17-10L04_01,,WBID Segments,24.83999109
2649,VT DEC WQD,VT17-10L04_02,,WBID Segments,101.02075333
2650,VT DEC WQD,VT04-01L01_02,,WBID Segments,469.11320437
2651,VT DEC WQD,VT04-01L01_01,,WBID Segments,4684.5439083
2652,VT DEC WQD,VT04-01L01_04,,WBID Segments,5.0422748
2653,VT DEC WQD,VT04-01L01_03,,WBID Segments,21.01359208
2655,VT DEC WQD,VT04-01L02_03,,WBID Segments,5.31564876
2656,VT DEC WQD,VT04-02L01_02,,WBID Segments,616.1053283
2658,VT DEC WQD,VT05-01L01_02,,WBID Segments,1501.41261447
2659,VT DEC WQD,VT05-01L01_01,,WBID Segments,6957.61889609
2660,VT DEC WQD,VT04-01L02_02,,WBID Segments,927.95985793
2661,VT DEC WQD,VT05-04L01_02,,WBID Segments,1528.82467899
2662,VT DEC WQD,VT05-04L01_01,,WBID Segments,56101.55222284
2663,VT DEC WQD,VT05-04L01_03,,WBID Segments,5.75667368
2664,VT DEC WQD,VT05-07L01_02,,WBID Segments,539.69742238
2665,VT DEC WQD,VT05-07L01_01,,WBID Segments,3719.85992891
2666,VT DEC WQD,VT05-09L01_02,,WBID Segments,1336.59158574
2667,VT DEC WQD,VT05-09L01_01,,WBID Segments,12243.84020832
2668,VT DEC WQD,VT05-09L01_03,,WBID Segments,10.69309649
2669,VT DEC WQD,VT05-10L01_02,,WBID Segments,300.11285765
2670,VT DEC WQD,VT05-10L01_01,,WBID Segments,2987.41302554
2672,VT DEC WQD,VT05-11L01_02,,WBID Segments,477.3999452
2673,VT DEC WQD,VT05-11L01_01,,WBID Segments,1843.15099811
2674,VT DEC WQD,VT05-11L01_03,,WBID Segments,6.45790686
2675,VT DEC WQD,VT05-10L02_02,,WBID Segments,4353.48222455
2676,VT DEC WQD,VT05-10L02_01,,WBID Segments,36015.51304981
2677,VT DEC WQD,VT05-04L02_02,,WBID Segments,4597.63139938
2678,VT DEC WQD,VT05-04L02_01,,WBID Segments,16279.97649087
2679,VT DEC WQD,VT02-03L05_02,,WBID Segments,489.94765059
2680,VT DEC WQD,VT02-03L05_01,,WBID Segments,1920.0414155
2681,VT DEC WQD,VT02-03L05_03,,WBID Segments,5.1038145
2682,VT DEC WQD,VT02-03L06_01,,WBID Segments,187.28398803
2683,VT DEC WQD,VT02-03L06_02,,WBID Segments,17.52730135
2684,VT DEC WQD,VT08-14L05_03,,WBID Segments,26.98466405
2685,VT DEC WQD,VT08-14L05_02,,WBID Segments,48.87325077
2686,VT DEC WQD,VT08-14L05_01,,WBID Segments,71.6340311
2687,VT DEC WQD,VT10-15L08_03,,WBID Segments,19.99236841
2688,VT DEC WQD,VT10-15L08_01,,WBID Segments,152.72949531
2689,VT DEC WQD,VT10-15L08_02,,WBID Segments,16.47670221
2690,VT DEC WQD,VT16-19L03_02,,WBID Segments,17.32382016
2691,VT DEC WQD,VT16-19L03_01,,WBID Segments,67.86927022
2692,VT DEC WQD,VT17-04L04_02,,WBID Segments,120.35120274
2693,VT DEC WQD,VT17-04L04_01,,WBID Segments,629.70455775
2694,VT DEC WQD,VT17-04L04_03,,WBID Segments,26.3602696
2695,VT DEC WQD,VT17-05L06_02,,WBID Segments,22.68070705
2697,VT DEC WQD,VT16-05L02,"CHANDLER;",Inventory Lake,7.1399002
2700,VT DEC WQD,"VT03-06L03
",EDDY,Inventory Lake,7.21352181
2704,VT DEC WQD,VT04-01L02_01,,WBID Segments,8827.86841487
3104,VT DEC WQD,VT04-04L05,CHAMP-SOUTH LAKE B,Inventory Lake,1016.39369609
3105,VT DEC WQD,VT04-04L05_02,,WBID Segments,402.44275348
3106,VT DEC WQD,VT04-04L05_01,,WBID Segments,111.74316096
3107,VT DEC WQD,VT09-06L06,UNKNOWN (BRAINT),Inventory Lake,4.70655701
17104,VT DEC WQD,VT04-02L01_01,,WBID Segments,4939.78544589
17505,VT DEC WQD,VT17-06L01,LONG (WESTMR),Inventory Lake,86.90930916
17507,VT DEC WQD,VT17-06L01_01,,WBID Segments,73.66148487
17508,VT DEC WQD,VT17-06L01_02,,WBID Segments,14.50825853
18304,VT DEC WQD,VT17-06L02_02,,WBID Segments,89.11709078
18305,VT DEC WQD,VT17-06L02_01,,WBID Segments,1644.47246348
18306,VT DEC WQD,VT17-06L02,"WILLOUGHBY
",Inventory Lake,1733.58955426
